# radius         dens           temp        c12          ne22
258
  1.308000E+08  4.063326E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.316000E+08  3.911765E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.324000E+08  3.765185E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.332000E+08  3.623438E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.340000E+08  3.486373E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.348000E+08  3.353842E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.356000E+08  3.225703E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.364000E+08  3.101828E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.372000E+08  2.982083E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.380000E+08  2.866347E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.388000E+08  2.754492E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.396000E+08  2.646393E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.404000E+08  2.541934E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.412000E+08  2.441006E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.420000E+08  2.343500E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.428000E+08  2.249311E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.436000E+08  2.158333E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.444000E+08  2.070462E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.452000E+08  1.985604E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.460000E+08  1.903666E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.468000E+08  1.824558E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.476000E+08  1.748192E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.484000E+08  1.674477E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.492000E+08  1.603330E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.500000E+08  1.534674E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.508000E+08  1.468430E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.516000E+08  1.404523E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.524000E+08  1.342877E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.532000E+08  1.283420E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.540000E+08  1.226085E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.548000E+08  1.170805E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.556000E+08  1.117516E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.564000E+08  1.066153E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.572000E+08  1.016655E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.580000E+08  9.689638E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.588000E+08  9.230228E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.596000E+08  8.787773E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.604000E+08  8.361712E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.612000E+08  7.951528E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.620000E+08  7.556726E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.628000E+08  7.176831E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.636000E+08  6.811358E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.644000E+08  6.459837E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.652000E+08  6.121837E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.660000E+08  5.796935E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.668000E+08  5.484718E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.676000E+08  5.184766E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.684000E+08  4.896699E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.692000E+08  4.620147E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.700000E+08  4.354747E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.708000E+08  4.100133E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.716000E+08  3.855972E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.724000E+08  3.621940E+06  9.868804E+07  5.00000E-01  0.00000E+00
